X	Y	DBH	HT
2.08	45.72	16.51	13.41
172.77	45.72	14.99	11.58
144.73	46.02	11.94	12.5
172.16	46.02	15.75	12.5
149.3	46.33	14.22	11.28
30.43	46.63	18.29	12.8
100.23	46.63	22.1	16.15
29.51	46.94	16	12.8
55.12	47.24	12.45	12.19
110.9	47.24	22.86	16.76
1.17	47.55	14.48	10.97
134.37	47.55	22.86	16.46
179.17	47.55	11.94	10.36
60.3	47.85	11.43	9.75
5.74	48.16	16.26	11.58
30.12	48.46	15.24	11.58
170.33	48.46	21.08	13.72
69.44	48.77	18.03	11.58
94.44	49.07	13.72	11.28
152.65	49.07	21.84	16.76
25.86	49.68	12.7	9.45
100.53	49.68	11.94	11.28
86.82	49.99	26.92	17.37
129.79	49.99	14.99	11.58
198.07	49.99	16.51	13.11
18.85	50.29	20.07	12.19
61.52	50.29	12.19	12.19
187.4	50.29	11.94	11.89
105.41	50.6	15.24	13.11
158.44	50.9	12.95	11.89
188.92	50.9	14.48	11.58
100.53	51.21	19.05	11.89
168.5	51.21	16.51	13.41
59.99	51.51	13.46	13.11
177.95	51.51	16	12.19
185.27	51.82	12.7	12.19
9.4	52.12	13.97	10.97
70.66	52.12	28.19	16.15
73.1	52.43	18.54	14.63
132.23	52.43	13.46	11.28
37.44	52.73	13.46	12.8
89.56	52.73	11.68	11.58
117.6	52.73	12.95	13.11
151.74	53.04	21.59	15.54
172.47	53.04	20.07	13.72
65.48	53.34	15.49	13.72
82.85	53.64	15.24	12.8
182.22	53.64	14.73	12.8
120.65	53.95	17.78	14.94
148.39	53.95	15.49	13.11
82.85	54.25	17.02	12.5
174.29	54.25	15.49	12.8
106.32	54.56	17.53	16.46
197.46	54.56	12.7	8.53
18.85	54.86	12.19	10.06
64.57	54.86	11.68	10.67
84.07	54.86	12.45	11.58
138.02	55.17	17.53	13.41
45.97	55.47	12.45	11.89
104.19	55.47	11.94	11.58
127.96	55.78	14.99	13.11
13.97	56.08	11.94	8.53
61.82	56.08	18.8	13.11
108.76	56.08	11.43	12.5
28.3	56.39	16.26	11.58
43.84	56.39	12.45	11.28
135.89	56.39	14.99	12.19
10.31	56.69	11.68	8.84
107.85	56.69	21.08	17.07
147.47	56.69	30.99	19.2
156.62	57	16.51	14.94
51.16	57.3	16	12.8
176.12	57.3	13.21	12.8
41.4	57.61	11.68	9.14
52.07	57.61	13.21	11.89
154.48	57.61	14.48	14.02
99.62	58.83	11.68	9.45
84.68	59.44	16.51	12.19
159.66	59.44	16	14.02
119.13	59.74	17.02	14.63
173.68	59.74	13.21	11.28
10.01	60.35	15.24	10.67
140.46	60.35	20.32	16.15
97.48	60.96	18.29	12.19
184.05	60.96	11.43	11.28
102.36	61.26	12.45	8.23
128.27	61.26	15.75	12.8
183.74	61.26	22.61	15.85
90.47	61.57	16	11.58
188.92	61.57	19.81	9.14
35.61	61.87	13.72	8.84
148.69	61.87	16.76	11.89
195.33	61.87	15.75	13.72
50.55	62.18	16	11.58
80.72	62.18	26.42	15.24
159.66	62.18	19.81	15.54
21.28	62.48	16	10.36
55.73	62.48	23.37	10.36
11.53	63.4	15.75	12.5
52.98	63.4	16	10.97
141.99	63.4	13.21	9.45
53.9	63.7	11.43	8.23
106.02	63.7	14.22	7.92
92	64.01	16	11.28
88.04	64.62	11.68	11.28
33.17	64.92	11.68	9.45
91.39	64.92	17.02	11.28
32.87	65.23	18.29	9.75
179.48	65.23	68.58	15.85
100.23	65.53	13.21	7.62
119.43	65.84	13.21	7.92
190.45	66.14	12.45	8.84
51.16	66.75	15.49	11.58
62.74	67.06	14.48	13.11
2.08	67.36	26.16	13.11
52.37	67.36	16.26	11.89
114.25	67.36	22.86	13.11
149.91	67.36	45.72	22.86
60.6	67.67	18.54	13.11
200.51	67.97	15.24	10.36
198.98	68.58	18.8	11.58
73.1	68.88	21.59	12.8
160.27	69.19	14.48	11.28
25.25	69.49	11.43	8.23
139.85	69.49	12.95	9.14
86.21	69.8	13.97	8.53
45.06	70.41	14.99	12.8
3.61	70.71	12.19	10.36
51.16	70.71	23.62	14.02
138.33	70.71	16.26	10.06
91.08	71.32	12.95	9.45
9.09	71.63	12.19	11.58
6.96	71.93	11.68	9.45
41.71	71.93	13.72	16.15
63.65	72.54	11.43	9.45
188.92	72.54	12.7	10.67
17.02	72.85	22.61	16.46
134.06	73.15	25.65	18.9
56.34	73.46	22.1	15.24
81.33	73.76	13.97	7.92
147.47	74.07	11.43	9.75
191.36	74.07	19.81	13.41
102.97	74.37	33.02	24.08
21.28	74.68	14.99	11.89
62.74	74.68	17.27	13.41
136.5	74.68	11.18	11.58
49.02	75.29	15.75	12.19
143.2	75.29	26.16	9.45
151.43	75.59	17.78	14.02
73.41	75.9	14.99	10.36
124.61	76.2	30.48	17.37
83.16	76.5	17.78	11.28
108.46	76.81	20.57	15.54
169.72	76.81	22.61	17.37
75.84	77.11	15.75	14.02
95.66	77.11	19.05	11.58
126.44	77.11	23.88	17.37
82.55	77.42	14.73	10.67
26.77	77.72	16.76	13.41
135.58	78.03	16.76	11.89
2.08	78.33	16.26	11.58
178.87	78.33	16.51	16.15
138.94	78.64	23.88	9.14
44.14	78.94	12.45	10.36
144.42	78.94	21.34	18.59
42.62	79.55	14.99	15.85
42.01	79.86	17.78	14.63
81.64	79.86	18.03	11.89
147.47	79.86	13.46	11.89
43.23	80.16	24.13	15.85
167.89	80.16	11.68	10.06
144.12	80.77	21.84	15.85
48.41	81.38	11.94	10.67
69.14	81.99	17.78	11.28
91.69	82.3	25.15	16.15
27.69	82.91	21.34	14.02
148.39	83.21	12.95	10.67
125.22	83.52	17.02	13.72
92.91	83.82	17.02	14.02
133.45	83.82	17.53	12.8
62.13	84.12	16.76	12.8
111.81	84.43	17.02	11.58
4.83	84.73	16.26	10.97
132.54	84.73	13.21	10.97
69.75	85.04	16.76	11.28
144.42	85.04	19.3	12.8
173.38	85.04	11.68	9.14
16.71	85.34	15.75	13.72
122.48	85.34	24.89	16.76
154.18	86.26	12.95	10.67
99.01	86.56	25.91	14.33
172.47	86.56	13.72	10.06
3.3	86.87	11.94	10.67
71.88	87.48	22.86	11.28
111.81	87.78	25.4	14.63
18.24	88.09	17.53	11.89
94.74	88.09	14.22	9.75
167.89	88.39	20.83	17.98
49.33	89	16.51	10.97
117.6	89	28.45	15.85
34.39	89.31	18.29	10.36
61.82	89.61	18.03	13.72
105.71	90.22	19.81	16.46
21.89	90.53	25.15	15.54
127.05	90.53	14.48	8.53
173.38	90.53	25.65	15.85
45.67	90.83	26.42	17.68
100.23	90.83	16	11.28
48.11	91.14	21.34	13.11
199.59	91.14	19.3	16.15
107.24	91.44	19.81	13.41
33.17	91.74	11.94	10.67
98.4	92.05	16.51	11.89
100.84	92.66	25.15	15.54
171.25	92.96	14.99	12.5
89.86	93.27	13.21	10.06
31.65	93.57	14.73	13.11
161.8	93.57	29.72	17.68
17.63	93.88	16	9.75
60.3	94.18	18.03	12.5
79.2	94.49	11.94	10.36
4.52	94.79	12.19	9.45
69.44	95.4	22.86	16.15
172.16	95.4	12.7	9.75
79.2	95.71	18.54	12.8
126.75	95.71	12.19	9.14
63.65	96.01	14.48	9.45
7.87	96.32	12.19	9.45
125.22	96.32	18.29	13.72
92.3	96.62	13.21	7.62
87.73	96.93	21.59	14.94
22.2	97.23	18.29	9.45
6.65	97.54	22.61	12.8
2.08	97.84	13.21	10.36
128.57	97.84	12.7	7.92
56.95	98.15	23.37	15.54
23.42	98.45	15.49	10.67
178.56	98.45	13.97	10.67
20.07	98.76	11.94	8.23
97.18	98.76	11.43	10.06
28.6	99.06	12.7	11.58
49.94	99.36	16	11.58
82.85	99.36	19.3	13.72
69.14	99.67	19.05	12.8
170.94	99.67	20.07	13.41
26.16	99.97	21.84	14.33
180.09	100.28	16.76	11.58
16.1	100.58	12.45	8.84
93.52	100.58	12.95	7.32
15.19	100.89	12.45	9.45
112.42	101.19	25.65	15.24
190.45	101.19	14.48	10.67
144.42	101.5	33.27	16.76
106.32	101.8	22.35	16.15
23.42	102.11	11.43	9.45
189.84	102.11	15.75	13.41
6.65	102.41	18.54	12.19
183.13	102.41	11.94	10.06
48.72	102.72	13.97	10.97
130.1	103.33	12.7	12.8
3.91	103.63	16.51	11.58
25.25	103.63	16.76	11.58
123.09	103.63	13.72	13.11
126.44	103.94	23.88	15.54
